created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 21 00:24:29 +0000 2023;1726758444278116368;"@KemenkesRI Nyamuk zombie terbukti berbahaya. Penelitian: Wolbachia memang menurunkan demam berdarah namun terbukti meningkatkan virus lain. Fakta ini disembunyikan oleh Kemenkes dan berpotensi menimbulkan pandemi baru. https://t.co/nxsJlM1zX6 https://t.co/rkCXsPHCSl";0;0;2;6;in;1613929735020773376;1726576867925491766;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1726758444278116368
Mon Nov 20 12:02:32 +0000 2023;1726571727852040251;"@KemenkesRI Jangan berbohong. Nyamuk zombie terbukti berbahaya. Penelitian: Wolbachia memang menurunkan demam berdarah namun terbukti meningkatkan virus lain. Fakta ini disembunyikan oleh Kemenkes dan berpotensi menimbulkan pandemi baru. https://t.co/nxsJlM1zX6 https://t.co/r9US59AY0d";4;5;42;68;in;1613929735020773376;1726559656766808493;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1726571727852040251
Mon Nov 20 10:55:18 +0000 2023;1726554805991322087;"@KompasTV Penelitian: Wolbachia memang menurunkan demam berdarah namun terbukti meningkatkan virus lain. Fakta ini disembunyikan oleh Kemenkes dan berpotensi menimbulkan pandemi baru. https://t.co/MOwQq6ef62";0;0;1;3;in;1613929735020773376;1726550228550205651;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1726554805991322087
Mon Nov 20 10:54:29 +0000 2023;1726554601758109722;"@detikcom @detik_edu Penelitian: Wolbachia memang menurunkan demam berdarah namun terbukti meningkatkan virus lain. Fakta ini disembunyikan oleh Kemenkes dan berpotensi menimbulkan pandemi baru. https://t.co/mWYhf2WjMY";0;0;0;5;in;1613929735020773376;1726552213785391189;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1726554601758109722
Mon Nov 20 09:58:15 +0000 2023;1726540449664704892;"Tolong angkat isu ini ya kk - kk  Jangan sampai ada pandemi "buatan" Lagi... Rumornya 1 Desember nyamuk ini akan disebar di jakarta...   Batalkan MOU kerjasama kemenkes &amp  WHO mengenai nyamuk bionik Wolbachia buatan ini....  @Greschinov @EGreschinov @KING_VADUKA";0;0;0;0;in;1581636323181412352;1726540449664704892;Oon154;https://twitter.com/Oon154/status/1726540449664704892
Mon Nov 20 07:03:25 +0000 2023;1726496449717055870;"Terima kasih @FPKSDPRRI  Ada bukti bahwa nyamuk zombie dapat menyebabkan penyakit baru atau bahkan pandemi baru. Penelitian: Wolbachia memang menurunkan demam berdarah namun terbukti meningkatkan virus lain. https://t.co/nxsJlM1zX6 https://t.co/BpZsCcUG2Y";3;4;111;138;in;1613929735020773376;1726496449717055870;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1726496449717055870
Mon Nov 20 04:47:47 +0000 2023;1726462317721010606;"Penelitian: Wolbachia memang menurunkan demam berdarah namun terbukti meningkatkan virus lain. Fakta ini disembunyikan oleh Kemenkes dan berpotensi menimbulkan pandemi baru. https://t.co/nxsJlM1zX6 https://t.co/zvJCZZNOv3";0;0;2;4;in;1613929735020773376;1726406885539283128;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1726462317721010606
Mon Nov 20 04:44:31 +0000 2023;1726461494760710525;"Penelitian: Nyamuk Wolbachia memang menurunkan DBD namun terbukti meningkatkan virus lain. Risiko ini disembunyikan oleh @KemenkesRI dan berpotensi menimbulkan pandemi baru. https://t.co/nxsJlM1zX6 https://t.co/nz0CnVdbGD";5;9;205;228;in;1613929735020773376;1726461494760710525;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1726461494760710525
Sun Nov 19 01:07:08 +0000 2023;1726044402592997864;"Nyamuk Wolbachia 💥Berpotensi jadi PANDEMI BARU💥 https://t.co/9Br4LUlNRZ";4;15;171;185;in;1613929735020773376;1726044402592997864;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1726044402592997864
Sat Nov 18 14:09:49 +0000 2023;1725878984070865056;"Baru aja repost soal ini di ig😅 karena udh mulai bertebaran hoaks soal "pandemi" dari Wolbachia";0;0;0;0;in;967548068;1725878984070865056;LilGirl______;https://twitter.com/LilGirl______/status/1725878984070865056
Fri Nov 17 12:20:00 +0000 2023;1725488957889319330;"Potensi jadi Pandemi baru. Kenali nyamuk Wolbachia ini. https://t.co/DbKvBii8tq";0;0;0;0;in;231355136;1725488957889319330;SINDOnews;https://twitter.com/SINDOnews/status/1725488957889319330
Thu Nov 16 10:00:06 +0000 2023;1725091364671463679;"Ayo!!!!! Kampanyekan tolak pelepasan nyamuk wolbachia, atau kita masuk pandemi lagi setelah covid #tolaknyamukwolbachia #tolaknyamukwolbachia #tolaknyamukwolbachia";0;0;0;1;in;2370901068;1725091364671463679;LinggarPras;https://twitter.com/LinggarPras/status/1725091364671463679
Thu Nov 16 09:18:11 +0000 2023;1725080815712010326;"KURANG PUAS DAN KURANG CUAN DENGAN COVID-19 ATAU KETAGIHAN DAPET CUAN ? Sementara Rakyat Hanya dijadikan Instrumen Nafsu Biadab Kekuasaan. Kini Disebar Pandemi Baru ? Nyamuk Bionic Wolbachia yang akan menyebar Virus menyerang dan Merusak Jaringan Otak Manusia ? SHUTDOWN REGIME... https://t.co/dzOcL1bAOa";2;1;15;24;in;2266842889;1725080815712010326;ZoelHayat;https://twitter.com/ZoelHayat/status/1725080815712010326
Thu Nov 16 04:56:36 +0000 2023;1725014986693775846;"Buat yg punya cita-cita untuk menolong sesama manusia dalam bidang kesehatan ini menjadi bukti bahwa memilih sebagai dokter atau saintis merupakan pilihan yg sangat keliru  Tapi masuklah ke politik dan jadi pejabat publik. Dari pandemi sampai nyamuk wolbachia ini bisa jadi contoh";0;1;0;0;in;959758219546472448;1725014986693775846;friedtempeh;https://twitter.com/friedtempeh/status/1725014986693775846
Tue Nov 14 16:05:14 +0000 2023;1724458476888531013;"Semoga semua berani dan tetap belajar, belajar, belajar  . #monkeypox #cacar #nyamuk #wolbachia #pandemi #pandemic #wabah #eksperimental #science #bali #nusantara https://t.co/JqmKkLZ1eg";0;0;0;0;in;144101866;1724458476888531013;satzchoochoo;https://twitter.com/satzchoochoo/status/1724458476888531013
